City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lovrin,45.9681,20.7703,303.22,36,16,1.96,RO,1720733193
83,arraial do cabo,-22.9661,-42.0278,295.13,100,75,2.06,BR,1720733195
84,sturgeon bay,44.8342,-87.377,299.35,50,0,0.0,US,1720733197
85,raducaneni,46.95,27.9333,299.68,35,0,1.58,RO,1720733198
86,weining,26.85,104.2333,290.81,93,100,2.15,CN,1720733199
87,albany,42.6001,-73.9662,301.28,69,75,0.89,US,1720733200
88,mwinilunga,-11.7358,24.4293,285.99,32,15,0.79,ZM,1720733202
89,miracema do tocantins,-9.5618,-48.3967,305.35,27,13,2.56,BR,1720733203
90,jamestown,42.097,-79.2353,295.07,83,100,2.57,US,1720733204
91,avarua,-21.2078,-159.775,296.18,68,92,3.09,CK,1720733205
92,dire dawa,9.5931,41.8661,297.36,66,80,7.09,ET,1720733207
93,egilsstadir,65.2653,-14.3948,290.1,51,20,5.66,IS,1720733208
94,lata,40.1629,-8.3327,293.1,91,0,1.47,PT,1720733210
95,whitehorse,60.7161,-135.0538,292.58,32,75,3.6,CA,1720733212
96,utrik,11.2278,169.8474,301.07,80,99,7.9,MH,1720733213
97,mount isa,-20.7333,139.5,277.02,75,0,0.0,AU,1720733214
98,alice springs,-23.7,133.8833,285.9,76,100,2.57,AU,1720733216
99,pacific grove,36.6177,-121.9166,299.49,72,0,3.58,US,1720732965
100,nar'yan-mar,67.6713,53.087,281.09,87,99,2.53,RU,1720733218
101,iqaluit,63.7506,-68.5145,280.0,87,100,7.2,CA,1720733219
102,masterton,-40.9597,175.6575,280.43,82,100,3.5,NZ,1720733221
103,mount pearl,47.5166,-52.7813,294.51,84,75,3.09,CA,1720733223
104,iskateley,67.6803,53.1512,281.06,86,99,2.59,RU,1720733224
105,bakau,13.4781,-16.6819,299.23,89,75,2.06,GM,1720733227
106,tuzha,57.6062,47.936,285.85,83,1,3.76,RU,1720733228
107,guerrero negro,27.9769,-114.0611,299.95,59,26,5.9,MX,1720733229
108,tralee,52.2704,-9.7026,285.87,87,100,3.98,IE,1720733231
109,kimbe,-5.5502,150.1429,298.54,88,100,2.18,PG,1720733232
110,udachny,66.4167,112.4,295.64,47,78,0.81,RU,1720733233
111,el granada,37.5027,-122.4694,310.08,49,0,5.66,US,1720733234
112,troitskiy,57.0603,63.7481,289.15,97,55,1.53,RU,1720733235
